id,batch,title,city,citySlug,slug,target_chpu,neighbor_chpu,mid_cta_angle,priority,chpu_note
1,1,Что посмотреть в Казани за 2-3 дня самостоятельно: готовый маршрут с картой,Казань,kazan,kazan-2-3-dnya-samostoyatelno-karta,/ekskursii/kazan/,/rechnye-progulki/kazan/ ; /podborki/na-vyhodnye/kazan,Пешая экскурсия Кремль + город NOTE (эталон ТЗ №1),Критический,OK excursions; первая генерация пачка A
2,1,Куда съездить из Казани на один день: Свияжск Болгар Голубые озера,Казань,kazan,kazan-za-odin-den-svyazhsk-bolgar-ozera,/ekskursii/kazan/,/rechnye-progulki/kazan/ ; /cities/kazan,Загородный день из Казани,Критический,zagorodnye-ekskursii/kazan недоступен (country-tours только SPB) → ekskursii/kazan
3,1,Казань с воды: лучшие маршруты речных прогулок по Волге и Казанке 2026,Казань,kazan,kazan-rechnye-progulki-volga-kazanka-2026,/rechnye-progulki/kazan/,/ekskursii/kazan/ ; /podborki/na-vyhodnye/kazan,Речные прогулки,Критический,OK river-cruises
4,1,Куда сходить в Казани вечером: бары стендапы вечерние огни,Казань,kazan,kazan-vecherom-bary-stendap,/stendap-i-yumor/kazan/,/ekskursii/kazan/ ; /podborki/na-vyhodnye/kazan,Стендап и вечерняя афиша,Критический,OK standup
5,1,Топ-10 бесплатных локаций Казани: как посмотреть город без бюджета,Казань,kazan,kazan-besplatno-top-10,/podborki/besplatno/kazan,/cities/kazan ; /ekskursii/kazan/,Бесплатные события и локации,Критический,intent besplatno (возможен thin)
6,1,Красная линия Екатеринбурга за 4 часа: маршрут и точки,Екб,ekaterinburg,ekb-krasnaya-liniya-4-chasa,/ekskursii/ekaterinburg/,/podborki/na-vyhodnye/ekaterinburg ; /cities/ekaterinburg,Обзорные экскурсии / маршрут,Критический,OK excursions
7,1,Куда сходить в Екатеринбурге на выходных,Екб,ekaterinburg,ekb-na-vyhodnye,/podborki/na-vyhodnye/ekaterinburg,/ekskursii/ekaterinburg/ ; /stendap-i-yumor/ekaterinburg/,Выходные в городе,Критический,intent na-vyhodnye
8,1,Стендап в Екатеринбурге: где послушать уральский юмор и посмеяться,Екб,ekaterinburg,ekb-stendap-uralskiy-yumor,/stendap-i-yumor/ekaterinburg/,/podborki/na-vyhodnye/ekaterinburg ; /ekskursii/ekaterinburg/,Стендап агрессивный NOTE после форматов (эталон ТЗ №2),Критический,OK standup; первая генерация пачка A
9,1,Смотровые площадки Екатеринбурга: куда подняться за видом,Екб,ekaterinburg,ekb-smotrovye-ploshchadki,/ekskursii/ekaterinburg/,/podborki/na-vyhodnye/ekaterinburg ; /cities/ekaterinburg,Экскурсии и маршруты с видами,Критический,отдельного CHPU смотровых нет → ekskursii
10,1,Уральский Марс и Бажовские места: топ загородных экскурсий из Екатеринбурга,Екб,ekaterinburg,ekb-uralskiy-mars-bazhovskie-ekskursii,/ekskursii/ekaterinburg/,/podborki/na-vyhodnye/ekaterinburg ; /cities/ekaterinburg,Загородные NOTE в логистике (эталон ТЗ №3),Критический,GAP zagorodnye-ekskursii/ekaterinburg (country-tours только SPB) → ekskursii/ekaterinburg; первая генерация пачка A
